iter	Logloss
0	0.6006097195
1	0.5389167925
2	0.5003432612
3	0.4743480825
4	0.4559433561
5	0.4440289155
6	0.4347910514
7	0.4282149175
8	0.4233945066
9	0.4201793192
10	0.4172724899
11	0.4153696713
12	0.4135679945
13	0.412324932
14	0.4112080379
15	0.4101866032
16	0.4092661577
17	0.4084567071
18	0.4075718125
19	0.4070406653
20	0.4062720302
21	0.4057944695
22	0.4049336084
23	0.4045543853
24	0.4041785333
25	0.403671332
26	0.403274493
27	0.4028518305
28	0.4025983624
29	0.4020653982
30	0.4015584496
31	0.4011239551
32	0.4007002885
33	0.4002911894
34	0.3997803056
35	0.3993736871
36	0.3989583875
37	0.3983419412
38	0.397701958
39	0.3971039079
40	0.3966376797
41	0.3962003383
42	0.3955265635
43	0.3949825701
44	0.394567907
45	0.3941369548
46	0.393844742
47	0.3932914849
48	0.3928128461
49	0.3926428261
50	0.3925015362
51	0.3920463848
52	0.3919533031
53	0.3911292762
54	0.3908351892
55	0.3903683424
56	0.3901874423
57	0.3897921268
58	0.3895905784
59	0.3893663435
60	0.3886070749
61	0.3882705899
62	0.3880752924
63	0.3876496792
64	0.3874169983
65	0.387349607
66	0.3870722292
67	0.3866889446
68	0.3862691821
69	0.3858990372
70	0.3854026951
71	0.385096446
72	0.3847483859
73	0.3844304495
74	0.3841709643
75	0.383944668
76	0.3836997157
77	0.3834771238
78	0.3830800646
79	0.382714467
80	0.3824007268
81	0.3822418286
82	0.381926031
83	0.381536366
84	0.381290328
85	0.3809733331
86	0.3806617949
87	0.3804380196
88	0.3801778959
89	0.3800848563
90	0.3795996377
91	0.3793779958
92	0.378752667
93	0.3784012938
94	0.3780862753
95	0.3778249208
96	0.377679532
97	0.377200689
98	0.3768479305
99	0.3766616386
