iter	Passed	Remaining
0	57	5675
1	58	2859
2	59	1920
3	60	1447
4	61	1164
5	62	977
6	63	840
7	64	739
8	65	659
9	66	597
10	67	547
11	68	505
12	70	471
13	71	439
14	72	410
15	73	385
16	74	363
17	75	342
18	76	325
19	77	308
20	78	294
21	79	281
22	80	269
23	81	257
24	82	246
25	83	236
26	84	227
27	85	218
28	85	210
29	86	202
30	87	195
31	88	188
32	89	182
33	90	176
34	92	170
35	93	165
36	125	214
37	133	217
38	134	209
39	135	203
40	136	197
41	138	191
42	140	186
43	142	180
44	143	175
45	159	186
46	160	181
47	161	175
48	162	169
49	164	164
50	165	158
51	167	154
52	168	149
53	169	144
54	171	140
55	172	135
56	174	131
57	175	126
58	176	122
59	177	118
60	178	113
61	179	109
62	180	105
63	180	101
64	182	98
65	182	94
66	184	90
67	186	87
68	187	84
69	188	80
70	189	77
71	190	73
72	191	70
73	191	67
74	192	64
75	193	61
76	194	58
77	195	55
78	196	52
79	197	49
80	198	46
81	199	43
82	201	41
83	202	38
84	203	35
85	204	33
86	205	30
87	206	28
88	208	25
89	210	23
90	213	21
91	215	18
92	216	16
93	217	13
94	219	11
95	220	9
96	221	6
97	222	4
98	224	2
99	225	0
